country,year,ae_ton_total
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,67381.58037
aut,2009,60978.15944
aut,2010,64403.32623
aut,2011,62781.64128
aut,2012,59838.56879
aut,2013,58411.1908
aut,2014,56073.55784
aut,2015,57154.16759
aut,2016,56473.97934
aut,2017,59325.82101
aut,2018,56692.59419
aut,2019,59790.50031
aut,2020,53659.16972
aut,2021,57506.07221
aut,2022,54827.02864
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,105395.36972
bel,2009,94368.80089
bel,2010,100710.26055
bel,2011,94042.34497
bel,2012,90518.99671
bel,2013,88340.19208
bel,2014,86154.54449
bel,2015,88798.05798
bel,2016,88374.57364
bel,2017,88463.75388
bel,2018,90041.40563
bel,2019,90076.75472
bel,2020,82940.99851
bel,2021,82719.00109
bel,2022,79708.96343
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,62744.78946
bgr,2009,54179.37594
bgr,2010,56750.12781
bgr,2011,61909.16238
bgr,2012,57044.6835
bgr,2013,51904.15164
bgr,2014,55347.54284
bgr,2015,58225.2123
bgr,2016,55766.16552
bgr,2017,57847.3262
bgr,2018,53394.28437
bgr,2019,51995.27433
bgr,2020,45606.09931
bgr,2021,51654.89824
bgr,2022,54733.83597
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,24759.96875
hrv,2009,22455.80441
hrv,2010,22225.0586
hrv,2011,22088.92026
hrv,2012,20394.6793
hrv,2013,19456.46267
hrv,2014,18843.89523
hrv,2015,18913.0453
hrv,2016,18871.07483
hrv,2017,19692.86072
hrv,2018,18620.37477
hrv,2019,18835.50187
hrv,2020,18136.74231
hrv,2021,18277.24712
hrv,2022,17767.21278
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,8797.48438
cyp,2009,8508.78899
cyp,2010,8137.08264
cyp,2011,7567.96514
cyp,2012,6949.94367
cyp,2013,6311.77798
cyp,2014,6658.82194
cyp,2015,6481.88148
cyp,2016,6865.94372
cyp,2017,7139.37677
cyp,2018,7203.40931
cyp,2019,7029.11974
cyp,2020,6853.05975
cyp,2021,6881.813
cyp,2022,6975.59636
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,125532.03296
cze,2009,115401.96712
cze,2010,117608.98099
cze,2011,115435.267
cze,2012,110833.97539
cze,2013,105851.02182
cze,2014,105340.42839
cze,2015,104800.84953
cze,2016,106836.92715
cze,2017,104947.29097
cze,2018,105910.64245
cze,2019,100488.82746
cze,2020,90143.11732
cze,2021,95410.28692
cze,2022,94996.92714
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,101482.97838
dnk,2009,94867.70388
dnk,2010,93019.84125
dnk,2011,92518.21014
dnk,2012,85815.59234
dnk,2013,84398.73856
dnk,2014,78618.9048
