country,year,ae_cap_retail
aut,1990,
aut,1991,
aut,1992,
aut,1993,
aut,1994,
aut,1995,
aut,1996,
aut,1997,
aut,1998,
aut,1999,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,308.55977
aut,2009,278.37887
aut,2010,267.39344
aut,2011,236.96598
aut,2012,219.66705
aut,2013,222.74867
aut,2014,209.508
aut,2015,206.20403
aut,2016,188.07614
aut,2017,191.23691
aut,2018,198.09927
aut,2019,192.11476
aut,2020,192.29092
aut,2021,207.57826
aut,2022,187.93332
aut,2023,
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,294.32065
bel,2009,295.65074
bel,2010,295.4716
bel,2011,258.85751
bel,2012,261.49127
bel,2013,269.97011
bel,2014,239.12023
bel,2015,247.88781
bel,2016,242.0188
bel,2017,235.14122
bel,2018,235.03339
bel,2019,225.33751
bel,2020,200.04545
bel,2021,198.83549
bel,2022,175.81327
bel,2023,
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,74.93232
bgr,2009,73.03798
bgr,2010,71.80701
bgr,2011,74.20463
bgr,2012,79.14248
bgr,2013,68.78901
bgr,2014,78.28372
bgr,2015,84.67195
bgr,2016,87.82528
bgr,2017,93.88392
bgr,2018,102.5107
bgr,2019,98.42141
bgr,2020,92.66803
bgr,2021,103.6108
bgr,2022,109.81661
bgr,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,
hrv,1996,
hrv,1997,
hrv,1998,
hrv,1999,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,107.05121
hrv,2009,107.3899
hrv,2010,108.55125
hrv,2011,104.65843
hrv,2012,97.50444
hrv,2013,100.73809
hrv,2014,95.57047
hrv,2015,104.52308
hrv,2016,109.08748
hrv,2017,125.16785
hrv,2018,123.40491
hrv,2019,129.24231
hrv,2020,118.34948
hrv,2021,132.94936
hrv,2022,135.65636
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,
cyp,1996,
cyp,1997,
cyp,1998,
cyp,1999,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,272.34957
cyp,2009,266.28934
cyp,2010,244.54742
cyp,2011,220.21815
cyp,2012,192.04203
cyp,2013,162.45613
cyp,2014,151.34561
cyp,2015,166.00102
cyp,2016,176.67692
cyp,2017,191.28914
cyp,2018,192.21956
cyp,2019,200.75012
cyp,2020,204.28785
cyp,2021,201.08119
cyp,2022,199.07587
cyp,2023,
cze,1990,
cze,1991,
cze,1992,
cze,1993,
cze,1994,
cze,1995,
cze,1996,
cze,1997,
cze,1998,
cze,1999,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,92.22003
cze,2009,114.25554
cze,2010,106.89224
cze,2011,118.41903
cze,2012,107.45692
cze,2013,105.09035
cze,2014,102.84125
cze,2015,105.5843
cze,2016,109.42066
cze,2017,118.17547
cze,2018,123.15827
cze,2019,123.24886
cze,2020,100.07028
cze,2021,116.18107
cze,2022,106.15745
cze,2023,
dnk,1990,
dnk,1991,
dnk,1992,
dnk,1993,
dnk,1994,
dnk,1995,
dnk,1996,
dnk,1997,
dnk,1998,
dnk,1999,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,275.37162
dnk,2009,252.16691
dnk,2010,254.79322
dnk,2011,252.35016
dnk,2012,236.38712
dnk,2013,210.52173
dnk,2014,198.24193
dnk,2015,201.64715
dnk,2016,197.41623
dnk,2017,197.11078
dnk,2018,197.31359
dnk,2019,187.91131
dnk,2020,167.08765
dnk,2021,172.01654
