country,year,ae_ton_serv
can,1990,
can,1991,
can,1992,
can,1993,
can,1994,
can,1995,
can,1996,
can,1997,
can,1998,
can,1999,
can,2000,
can,2001,
can,2002,
can,2003,
can,2004,
can,2005,
can,2006,
can,2007,
can,2008,
can,2009,66757
can,2010,64283
can,2011,66384
can,2012,63730
can,2013,63642
can,2014,63988
can,2015,61148
can,2016,62442
can,2017,65017
can,2018,67511
can,2019,68861
can,2020,63046
can,2021,65472
can,2022,
can,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,2754.4301002
nzl,2009,2785.4812766
nzl,2010,2933.3291002
nzl,2011,2797.0998209
nzl,2012,2826.1589182
nzl,2013,2772.3550798
nzl,2014,2843.3693127
nzl,2015,2775.669083
nzl,2016,2761.3319467
nzl,2017,2783.838637
nzl,2018,2740.9546185
nzl,2019,2930.1787601
nzl,2020,2651.9588459
nzl,2021,2607.4949809
nzl,2022,
nzl,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,48399.6
gbr,2009,45286.8
gbr,2010,46964.2
gbr,2011,44084.9
gbr,2012,45954.2
gbr,2013,45318.5
gbr,2014,42590.9
gbr,2015,43199.6
gbr,2016,43921.7
gbr,2017,42984.7
gbr,2018,42321.4
gbr,2019,41215.7
gbr,2020,36517.1
gbr,2021,39626.9
gbr,2022,38362.1
gbr,2023,
